cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
23.68155697,20.52235629,26.81218661,-0.097128307,5.12298343,5.5,-0.034547559,0
45.13269101,20.69266312,35.7780616,-0.436430154,41.00244745,5.5,0.057404821,0
38.29194638,16.3476143,31.55273967,-0.440227113,34.19732616,5.5,0.045560775,1
39.26517019,14.69484686,30.71524348,-0.413452236,34.90538524,5.5,0.017623739,1
39.71563363,17.87770166,37.40848407,-0.461142097,35.80672389,5.5,0.077778237,1
49.65252831,19.35593357,36.45304264,-1.346728353,52.55355181,0.5,0.053744462,0
39.08387487,18.52951962,35.81322654,-0.429186776,34.88392525,5.5,0.04579596,1
38.30091731,16.18721303,35.37687261,-0.413356011,33.94011744,5.5,0.02430866,1
39.19712075,25.44673344,55.13526768,-0.431668336,35.02131566,5.5,-0.002761885,1
38.79948333,21.59593143,41.68837593,-0.411965682,34.42396635,5.5,0.057745887,1
37.4974429,24.13253971,43.17561102,-0.409215603,33.09252084,5.5,-0.01477381,1
13.01799986,12.67043395,14.77687423,-0.239331593,29.34217394,0.5,0.048118209,0
38.72643027,20.64816488,41.06030306,-0.440009701,34.62978688,5.5,0.104000572,1
38.19572549,12.93851482,28.32925045,-0.397260567,33.65824307,5.5,-0.018951784,1
47.87732217,17.78370785,30.91630096,-0.903560328,49.37734778,1.092110654,0.057702084,0
37.43671638,15.69109941,34.96860564,-0.447522771,33.40884796,5.5,0.044919124,1
46.44718382,16.31001001,29.53985927,-0.690529551,45.68116813,2.632862227,0.073815739,0
37.84719579,14.60788345,35.9506434,-0.408479656,33.4343375,5.5,0.029557875,1
47.54957253,17.05311863,18.54518664,-0.693376414,48.10354681,1.660023308,0.007648648,0
39.52835427,19.89475565,43.681702,-0.404879986,35.07626254,5.5,0.062124525,1
39.41930746,11.4184688,31.79811631,-0.414240211,35.06781577,5.5,0.120076145,1
46.92030293,19.53876668,30.39819557,-0.667142724,47.02859533,1.929430246,0.054867747,0
40.58205554,23.08368858,48.35293781,-0.408861282,36.17331615,5.5,0.003527653,1
37.94428939,18.55801467,39.1631498,-0.462183597,34.04418811,5.5,0.034378709,1
38.0475822,17.32591307,36.93112842,-0.40216414,33.56542514,5.5,0.007226107,1
39.506217,16.26049607,35.06235613,-0.375992336,34.71206919,5.5,0.126700852,1
37.93870319,15.75224692,31.90423511,-0.417875047,33.62506242,5.5,-0.002981984,1
37.98628505,18.31728743,35.71469477,-0.447571311,33.95885346,5.5,0.00822438,1
